CaseNumber,Subject,Description,Product,Country,Priority,Status,CreatedDate,category,root_cause,sentiment,urgency
00005001,Thank you + one small question,"Hi there, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! David Demo",SoundWave Bar 300,United Kingdom,Low,In Progress,2026-01-13,How-To Question,Customer seeking product compatibility information,Positive,Low
00005002,Thank you + one small question,"Good morning, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Anna Example",SoundWave Bar 300,United Kingdom,Low,Closed,2026-01-15,How-To Question,Customer seeking product compatibility information,Positive,Low
00005003,Cannot find HDMI ARC setting,"Dear customer service, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Carla Placeholder",SoundWave Bar 300,France,Low,New,2026-01-17,How-To Question,Customer unable to locate settings menu,Neutral,Medium
00005004,BrewMaster makes loud grinding noise,"Good morning, After about six months my BrewMaster has started leaking water from underneath every time it brews. There is a small puddle on the counter each morning. Serial SN-700083. Can this be repaired? Regards, Bob Sample",BrewMaster Coffee Machine,France,Medium,In Progress,2026-01-17,Product Defect,Water leakage from unit after six months,Neutral,Medium
00005005,Battery drains even when camera is off,"I have been a loyal customer for years and this is how I am treated? My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Greta Testcase",AeroSnap X200 Camera,Germany,High,In Progress,2026-01-19,Product Defect,"Battery drains prematurely, power loss failure",Angry,High
00005006,Vacuum loses suction after 10 minutes,"Hello support team, My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-608309, purchased in January. What are my options? David Demo",CycloneVac V8,Spain,Medium,Escalated,2026-01-19,Product Defect,Suction loss after ten minutes of use,Neutral,Medium
00005007,Thank you + one small question,"Good morning, First of all, I love my new SoundWave Bar 300 — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Anna Example",SoundWave Bar 300,Italy,Low,New,2026-01-22,How-To Question,Customer seeking product compatibility information,Positive,Low
00005008,Refund not received,I have been a loyal customer for years and this is how I am treated? I was charged twice for order ORD-2026-79377 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0113-2184. Frank Fictional,CycloneVac V8,United Kingdom,Medium,New,2026-01-24,Billing,Duplicate charge on customer account,Angry,High
00005009,Which water filter do I need?,"Hello support team, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Greta Testcase",BrewMaster Coffee Machine,Germany,Low,In Progress,2026-01-25,How-To Question,Descaling light remains on after program,Neutral,Medium
00005010,How to descale the coffee machine,"Good morning, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Henk Voorbeeld",BrewMaster Coffee Machine,Netherlands,Low,In Progress,2026-01-25,How-To Question,Descaling light remains on after program,Neutral,Medium
00005011,How do I connect the soundbar to my TV?,"Good morning, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Bob Sample",SoundWave Bar 300,Netherlands,Low,New,2026-01-27,How-To Question,Customer unable to locate settings menu,Neutral,Medium
00005012,Charged twice for one order,"Good morning, I was charged twice for order ORD-2026-84144 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0183-6927. Bob Sample",FrostCore Fridge-Freezer,United Kingdom,Medium,Closed,2026-01-29,Billing,Duplicate charge on customer account,Neutral,High
00005013,Screen has a vertical line,"Hi there, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-92829. I would like an exchange. Best, Carla Placeholder (carla.placeholder@notreal.test)","Lumina 43"" LED TV",United Kingdom,Medium,In Progress,2026-01-30,Product Defect,Dead pixels visible on display screen,Neutral,Medium
00005014,Thank you + one small question,"Dear customer service, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Greta Testcase",SoundWave Bar 300,Netherlands,Low,Closed,2026-01-31,How-To Question,"Incompatible product question, unclear intent",Positive,Low
00005015,Refund still not processed,"Good morning, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-24587. Could you check the status? Regards, Carla Placeholder, carla.placeholder@notreal.test",CycloneVac V8,United Kingdom,Medium,Closed,2026-02-04,Shipping/Logistics,Refund processing delayed after return,Neutral,High
00005016,Charged twice for one order,"Hello support team, I was charged twice for order ORD-2026-67632 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0167-5807. David Demo",CycloneVac V8,Sweden,High,In Progress,2026-02-05,Billing,Duplicate charge on customer account,Neutral,High
00005017,Dead pixels on new TV,"Good morning, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-42584. I would like an exchange. Best, David Demo (david.demo@fakemail.test)","Lumina 43"" LED TV",Poland,High,Escalated,2026-02-06,Product Defect,Dead pixels in display panel,Neutral,Medium
00005018,Camera battery life much worse than advertised,"Hello support team, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, Carla Placeholder",AeroSnap X200 Camera,Netherlands,Medium,Closed,2026-02-09,Product Defect,Battery drains when powered off,Neutral,Medium
00005019,Refund still not processed,"Hello support team, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-28573. Could you check the status? Regards, Carla Placeholder, carla.placeholder@notreal.test",CycloneVac V8,Germany,Medium,In Progress,2026-02-09,Billing,Refund processing delayed 15 days,Negative,High
00005020,How to descale the coffee machine,"Good morning, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, David Demo",BrewMaster Coffee Machine,Poland,Low,Escalated,2026-02-16,How-To Question,Descaling light remains on after cycle,Neutral,Low
00005021,How to descale the coffee machine,"Good morning, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Bob Sample",BrewMaster Coffee Machine,France,Low,In Progress,2026-02-16,How-To Question,Descaling light remains on after cycle,Neutral,Low
00005022,Battery drains even when camera is off,"Hi there, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-63324. Could this be a hardware fault? Kind regards, Henk Voorbeeld (henk.voorbeeld@fakemail.test)",AeroSnap X200 Camera,France,Low,Closed,2026-02-17,Product Defect,Battery capacity significantly below specification,Neutral,Medium
00005023,Cannot find HDMI ARC setting,"Hello support team, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, David Demo",SoundWave Bar 300,Sweden,Low,New,2026-02-17,How-To Question,Cannot locate HDMI ARC setting,Positive,Low
00005024,How to descale the coffee machine,"Hi there, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Erika Fiktiv",BrewMaster Coffee Machine,Netherlands,Low,Closed,2026-02-18,How-To Question,Descaling light remains on after cycle,Neutral,Low
00005025,Backlight bleeding on Lumina 43,"Hi there, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-25427. I would like an exchange. Best, Henk Voorbeeld (henk.voorbeeld@fakemail.test)","Lumina 43"" LED TV",France,Medium,New,2026-02-18,Product Defect,Dead pixels in display panel,Neutral,Medium
00005026,Warranty registration problem,"Hi there, My FrostCore fridge-freezer (serial SN-923151) has stopped cooling in the fridge compartment after 14 months. The freezer still works. Is this covered under the 2-year warranty, and how do I arrange a repair? Thank you, Erika Fiktiv",FrostCore Fridge-Freezer,Germany,High,Escalated,2026-02-21,Warranty,Refrigerator fridge compartment stopped cooling,Neutral,High
00005027,Camera battery life much worse than advertised,"Hello support team, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, David Demo",AeroSnap X200 Camera,Netherlands,Medium,In Progress,2026-02-24,Product Defect,Battery drains when powered off,Neutral,Medium
00005028,Refund still not processed,"Hello support team, I returned my AeroSnap Mini on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-20964. Could you check the status? Regards, Erika Fiktiv, erika.fiktiv@beispiel.test",CycloneVac V8,Spain,Medium,Escalated,2026-02-25,Billing,Refund processing delayed 15 days,Negative,High
00005029,Order not delivered after 3 weeks,"Honestly unacceptable for a product at this price point. Order ORD-2026-90239 was promised in 3-5 working days. It has now been 19 days and the tracking has not moved from your Rotterdam warehouse. Either ship it this week or refund me. Carla Placeholder, carla.placeholder@notreal.test",SoundWave Bar 300,Germany,High,Escalated,2026-03-01,Shipping/Logistics,Order stuck in warehouse 19 days,Angry,High
00005030,App cannot find my camera,"Hello support team, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Anna Example (anna.example@fakemail.test)",AeroSnap Mini,United Kingdom,Low,New,2026-03-01,How-To Question,Camera not appearing in app device list,Neutral,Medium
00005031,Order not delivered after 3 weeks,"This is the third time I am contacting you and still no answer. Order ORD-2026-71221 was promised in 3-5 working days. It has now been 19 days and the tracking has not moved from your Rotterdam warehouse. Either ship it this week or refund me. Erika Fiktiv, erika.fiktiv@beispiel.test",CycloneVac V8,Belgium,High,In Progress,2026-03-02,Shipping/Logistics,Order stuck at warehouse,Angry,High
00005032,Where is my order?,"Good morning, I placed order ORD-2026-53058 over three weeks ago and tracking still shows it sitting at the Rotterdam distribution centre. Could you tell me when it will actually ship? Thank you, David Demo",SoundWave Bar 300,Netherlands,Medium,In Progress,2026-03-03,Shipping/Logistics,Order stuck at warehouse,Neutral,Medium
00005033,Backlight bleeding on Lumina 43,"Hello support team, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-83668. I would like an exchange. Best, Bob Sample (bob.sample@demo-inbox.test)","Lumina 43"" LED TV",Netherlands,High,Closed,2026-03-04,Product Defect,Dead pixels on display,Neutral,Medium
00005034,Cannot find HDMI ARC setting,"Good morning, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Henk Voorbeeld",SoundWave Bar 300,Sweden,Low,In Progress,2026-03-04,How-To Question,User cannot find setting,Neutral,Low
00005035,Package stuck at Rotterdam warehouse,"Honestly unacceptable for a product at this price point. Order ORD-2026-89535 was promised in 3-5 working days. It has now been 19 days and the tracking has not moved from your Rotterdam warehouse. Either ship it this week or refund me. Bob Sample, bob.sample@demo-inbox.test","Lumina 43"" LED TV",Belgium,Medium,Closed,2026-03-05,Shipping/Logistics,Order stuck at warehouse,Angry,High
00005036,Brush roller stopped spinning,"This is the third time I am contacting you and still no answer. My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-863755, purchased in January. What are my options? Erika Fiktiv",CycloneVac V8,France,Medium,In Progress,2026-03-05,Product Defect,Suction loss after use,Angry,High
00005037,Camera battery life much worse than advertised,"Good morning, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, Greta Testcase",AeroSnap X200 Camera,Italy,Medium,Closed,2026-03-06,Product Defect,Battery drains overnight,Neutral,Medium
00005038,How do I connect the soundbar to my TV?,"Dear customer service, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Frank Fictional",SoundWave Bar 300,France,Low,New,2026-03-11,How-To Question,User cannot find setting,Neutral,Low
00005039,Invoice needed for my order,I have been a loyal customer for years and this is how I am treated? I was charged twice for order ORD-2026-30586 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0128-7046. Erika Fiktiv,FrostCore Fridge-Freezer,United Kingdom,Medium,Closed,2026-03-12,Billing,Duplicate charge on account,Angry,High
00005040,Delivery delayed with no updates,"Hi there, I placed order ORD-2026-32973 over three weeks ago and tracking still shows it sitting at the Rotterdam distribution centre. Could you tell me when it will actually ship? Thank you, Henk Voorbeeld",SoundWave Bar 300,Belgium,Medium,In Progress,2026-03-13,Shipping/Logistics,Order stuck at warehouse,Neutral,Medium
00005041,Package stuck at Rotterdam warehouse,"Dear customer service, I placed order ORD-2026-84455 over three weeks ago and tracking still shows it sitting at the Rotterdam distribution centre. Could you tell me when it will actually ship? Thank you, Greta Testcase",CycloneVac V8,France,High,Closed,2026-03-16,Shipping/Logistics,Order stuck at warehouse,Neutral,Medium
00005042,Order not delivered after 3 weeks,"Dear customer service, My delivery keeps getting postponed — the app has changed the delivery date four times now. The parcel appears stuck in Rotterdam. Please investigate order ORD-2026-51562. Regards, Anna Example",CycloneVac V8,Netherlands,High,In Progress,2026-03-17,Shipping/Logistics,Delivery repeatedly postponed,Negative,Medium
00005043,Package stuck at Rotterdam warehouse,"Good morning, I placed order ORD-2026-91418 over three weeks ago and tracking still shows it sitting at the Rotterdam distribution centre. Could you tell me when it will actually ship? Thank you, David Demo",SoundWave Bar 300,France,High,Closed,2026-03-18,Shipping/Logistics,Order stuck at warehouse,Neutral,Medium
00005044,How to descale the coffee machine,"Hi there, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Greta Testcase",BrewMaster Coffee Machine,Germany,Low,New,2026-03-18,How-To Question,Descaling light stays on,Neutral,Low
00005045,Package stuck at Rotterdam warehouse,"Honestly unacceptable for a product at this price point. Order ORD-2026-61559 was promised in 3-5 working days. It has now been 19 days and the tracking has not moved from your Rotterdam warehouse. Either ship it this week or refund me. Greta Testcase, greta.testcase@demo-inbox.test","Lumina 43"" LED TV",Belgium,Medium,Closed,2026-03-19,Shipping/Logistics,Order stuck at warehouse,Angry,High
00005046,Package stuck at Rotterdam warehouse,"Dear customer service, My delivery keeps getting postponed — the app has changed the delivery date four times now. The parcel appears stuck in Rotterdam. Please investigate order ORD-2026-57559. Regards, Greta Testcase",SoundWave Bar 300,France,High,Closed,2026-03-20,Shipping/Logistics,Package stuck in warehouse,Negative,High
00005047,Vacuum loses suction after 10 minutes,"I am extremely frustrated with this product. My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-546708, purchased in January. What are my options? Carla Placeholder",CycloneVac V8,France,Medium,In Progress,2026-03-20,Product Defect,Vacuum loses suction rapidly,Angry,High
00005048,Order not delivered after 3 weeks,"Dear customer service, I placed order ORD-2026-22775 over three weeks ago and tracking still shows it sitting at the Rotterdam distribution centre. Could you tell me when it will actually ship? Thank you, Erika Fiktiv","Lumina 43"" LED TV",Germany,High,New,2026-03-21,Shipping/Logistics,Order delayed at distribution center,Negative,High
00005049,Camera battery life much worse than advertised,"I have been a loyal customer for years and this is how I am treated? My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. David Demo",AeroSnap X200 Camera,Poland,Low,New,2026-03-24,Product Defect,Battery indicator malfunction,Angry,High
00005050,Burning smell from vacuum motor,"This is the third time I am contacting you and still no answer. My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-513946, purchased in January. What are my options? Greta Testcase",CycloneVac V8,Germany,Medium,New,2026-03-24,Product Defect,Vacuum suction loss and burning smell,Angry,High
00005051,Order not delivered after 3 weeks,"I have been a loyal customer for years and this is how I am treated? Order ORD-2026-39369 was promised in 3-5 working days. It has now been 19 days and the tracking has not moved from your Rotterdam warehouse. Either ship it this week or refund me. Henk Voorbeeld, henk.voorbeeld@fakemail.test","Lumina 43"" LED TV",Netherlands,Medium,In Progress,2026-03-26,Shipping/Logistics,Order stuck in warehouse long-term,Angry,High
00005052,Package stuck at Rotterdam warehouse,"Hi there, My delivery keeps getting postponed — the app has changed the delivery date four times now. The parcel appears stuck in Rotterdam. Please investigate order ORD-2026-26503. Regards, Greta Testcase",SoundWave Bar 300,Netherlands,High,In Progress,2026-03-28,Shipping/Logistics,Package stuck in warehouse,Negative,High
00005053,Package stuck at Rotterdam warehouse,"Hi there, My delivery keeps getting postponed — the app has changed the delivery date four times now. The parcel appears stuck in Rotterdam. Please investigate order ORD-2026-93639. Regards, Anna Example",CycloneVac V8,France,Medium,New,2026-03-28,Shipping/Logistics,Package stuck in warehouse,Negative,High
00005054,Charged twice for one order,"Good morning, I was charged twice for order ORD-2026-30135 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0138-8954. Carla Placeholder",CycloneVac V8,Germany,Medium,Escalated,2026-03-28,Billing,Duplicate charge on order,Negative,High
00005055,Brush roller stopped spinning,"Dear customer service, My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-250614, purchased in January. What are my options? Anna Example",CycloneVac V8,Sweden,Medium,Closed,2026-03-28,Product Defect,Vacuum loses suction rapidly,Neutral,Medium
